,id,title,description,thumbnail,channelTitle,channelId,viewCount,likeCount,dislikeCount,commentCount
0,-sJ9HF6-IrQ,14 AMAZING THINGS YOU CAN MAKE WITH A TOWEL,Subscribe to 5-Minute Crafts KIDS: https://goo.gl/PEuLVt ---------------------------------------------------------------------------------------- Our Social Media: Have you ever seen a...,https://i.ytimg.com/vi/-sJ9HF6-IrQ/default.jpg,5-Minute Crafts KIDS,UC57XAjJ04TY8gNxOWf-Sy0Q,853005,5188,498,297
1,MADXDMkD3qQ,Amazing 14 tasty Desserts Recipes,Credit: https://www.instagram.com/stephaniablog/ https://www.instagram.com/dicadaka/ https://www.instagram.com/drickara/ Subscribe: Amazing Compilations https://www.youtube.com/channel/UCbMt......,https://i.ytimg.com/vi/MADXDMkD3qQ/default.jpg,Amazing Compilations,UCbMtqOoWsqsRzUQcJ4-OQgA,1327486,11646,716,266
2,85hvtPCB0lo,14 Amazing Instagram Tricks You Are Going to Love,"From creating custom filters to getting followers – we are going to rock your Instagram world! However, do not sink too deep into Instagram (yep, our sarcastic thumbnail shows the truth of...",https://i.ytimg.com/vi/85hvtPCB0lo/default.jpg,BRIGHT SIDE,UC4rlAVgAK0SGk-yTfe48Qpw,1223700,13767,2031,1081
3,0nTzBj9TVLE,14 AMAZING AND USEFUL KITCHEN TIPS AND TRICKS (Part 3) | इन 14 उपयोगी किचन के टिप्स को ज़रूर देखे,"Since all of you loved the part 1 and part 2 of kitchen tips, I asked you to suggest your tips, I am back with part 3 with the tips you gave me! Let us know in the comments below which of...",https://i.ytimg.com/vi/0nTzBj9TVLE/default.jpg,Anyone can cook with me,UCB2t0DdrCOE4NaGeg7BoZng,124266,2155,182,117
4,ht1JML6EmJg,14 Amazing DIY Craft Project Ideas That are Easy to Make,Thanks for watching don't forget to subscribe to our channel Credit: https://www.instagram.com/dicasdoalef/ FRISHTA - DIY CRAFT Subscribe: Amazing Compilations https://www.youtube.com/channel/UCb...,https://i.ytimg.com/vi/ht1JML6EmJg/default.jpg,Amazing Compilations,UCbMtqOoWsqsRzUQcJ4-OQgA,24455,348,38,14
5,89lPh_T43hk,"ताश का जादू शिखे ,,##14 amazing card magic trick in hindi","Namaskar मैं इस वीडियो में आपको ताश का जादू सिखाएंगे ये बहुत ही बढ़िया मैजिक है,...",https://i.ytimg.com/vi/89lPh_T43hk/default.jpg,Math & magic trick,UCDDstfKTca1bJeySGjdPprg,105573,1816,152,36
6,AcZDT16luYo,14 AMAZING Life Hacks and Science Experiments,Hi my friends!!!! In this video I show you 14 AMAZING Life Hacks and Science Experiments - Compilation. These are 14 Crazy Science you need to know. This awesome hacks Everyone Should Know....,https://i.ytimg.com/vi/AcZDT16luYo/default.jpg,MORENA DIY,UCU1Q_8uk_xgAWXG7OFyVyMw,126422,1101,179,92
7,o57OJQQcwYU,14 दमदार नए और अनोखे टिप्स काश पहले पता होता-14 Amazing Kitchen Tips and Tricks-Best Kitchen Tips,"In this video, I will show you most important Kitchen tips and tricks in Hindi. These are Useful & important kitchen tips which I tried & tested . kitchen tips are useful for daily life. I...",https://i.ytimg.com/vi/o57OJQQcwYU/default.jpg,Cook With Parul,UClfidxoNRvDO361TM5rw64Q,115710,1476,134,201
8,KYsnGsVGxQo,14 Amazing Treasures Discovered By Accident,From discovering that a $5 painting was actually a Jackson Pollock original incredible to finding a shocking amount of gold artifacts! Subscribe to Talltanic http://goo.gl/wgfvrr 7. The...,https://i.ytimg.com/vi/KYsnGsVGxQo/default.jpg,Talltanic,UCTTQAOiR_0DuyQPZ6Dg-LHA,1051988,3289,266,337
9,2eGPpSB93Sg,TOP 14 AMAZING NAIL ART IDEAS AND DESIGNS COMPILATION,"Hello everyone, welcome to our channel. We mainly make nail art compilation videos. We do not own the videos. Credits are below :). We make compilations everyday ! make sure to follow us on...",https://i.ytimg.com/vi/2eGPpSB93Sg/default.jpg,Beauty  channel,UCDkrA0zSVMkSrgTrmSCVUEg,7524,206,4,5
10,kTLGfSVRVSo,14 Amazing Psychology Facts Everybody Needs to Know - Higher Perspective,Here are 14 amazing psychology facts everybody needs to know about! These facts will change your perception if you believe them to. This video was filmed and produced by Higher Perspective.,https://i.ytimg.com/vi/kTLGfSVRVSo/default.jpg,Kyle Rea Art,UCU7EbSevcMsv3a3wfIx0pJQ,7264,60,1,0
11,XxRml116TbE,14 Amazing Things You'll Only See in Dubai!,Amazing things you will only see in Dubai! This crazy expensive stuff including gold iphones and cheetah's you will only find in the United Arab Emirates Dubai is known for it's lavish...,https://i.ytimg.com/vi/XxRml116TbE/default.jpg,Factnomenal,UC1pUFgoqKqy_sfzF0_rtQzQ,618455,2340,206,669
12,MU9bKT5-Xm0,14 Amazing Extinct Creatures That Still Exist,You were wrong if you thought these animals were extinct they r still alive you won't believe the amazing creatures on this list 8. Passenger Pigeon Traveling in flocks that spanned a mile...,https://i.ytimg.com/vi/MU9bKT5-Xm0/default.jpg,Down The Rabbithole,UCqdTuLTekIsdgaIKjwj4D-A,931,16,1,3
13,sCf0gNvtaAc,14 Amazing Hair Transformations - Easy Beautiful Hairstyles Tutorials 🌺 Best Hairstyles for Girls,14 Amazing Hair Transformations - Easy Beautiful Hairstyles Tutorials Best Hairstyles for Girls I really hope you enjoy it and don't forget to subscribe to this channel for the latest...,https://i.ytimg.com/vi/sCf0gNvtaAc/default.jpg,Perfect Life,UCWaiODr4_y9G7XRNOEQAV6Q,19656,209,11,4
14,XmXCA3y2MSc,14 Amazing Hair Transformations - Easy Beautiful Hairstyles Tutorials 🌺 Best Hairstyles for Girls,14 Amazing Hair Transformations - Easy Beautiful Hairstyles Tutorials Best Hairstyles for Girls I really hope you enjoy it and don't forget to subscribe to this channel for the latest...,https://i.ytimg.com/vi/XmXCA3y2MSc/default.jpg,Perfect Life,UCWaiODr4_y9G7XRNOEQAV6Q,18885,304,13,5
15,LIvUfANEG2Q,Best tattoos in the world HD 2017 [ Part 14 ] - Amazing Tattoo Design Ideas,Best tattoos in the world HD 2017 [ Part 14 ] - Amazing Tattoo Design Ideas Please subscribe to my youtube channel......https://goo.gl/gg9z6M.,https://i.ytimg.com/vi/LIvUfANEG2Q/default.jpg,MUMMY CHANNEL,UCQGNygz_tRt1dgss8-Wya7g,20477,220,4,12
16,m5PJpQ7v2-k,Top 14 Amazing Hair Transformations - Beautiful Hairstyles Compilation 2017,"Amazing Hair Transformations - Beautiful Hairstyles Compilation 2017 hairstyles, hair style, short haircuts, hairstyles for women, short haircuts for women, hairstyles for long hair, short...",https://i.ytimg.com/vi/m5PJpQ7v2-k/default.jpg,Amazing Hairstyles,UCVS8l97C8-K2g2GCAS8kjyw,6347,35,4,1
17,J0IClDgU5u0,14 AMAZING Things About Women!,Amazing facts about women! From living longer to talking more we look at the surprising science differences between males and females 14. Women can sync their periods together- If you've...,https://i.ytimg.com/vi/J0IClDgU5u0/default.jpg,Tempt,UCPHl3a0Uw8zyAX0xZm2J-8Q,738,23,2,2
18,DCxdhuhj1KA,14 Amazing Artists and Their Creations,Take a look as some of the most amazing and unbelievable worlds of art created and the artists who made the dazzling installations. Subscribe to Talltanic http://goo.gl/wgfvrr 8. Alexandr...,https://i.ytimg.com/vi/DCxdhuhj1KA/default.jpg,Talltanic,UCTTQAOiR_0DuyQPZ6Dg-LHA,59577,310,50,60
19,g7KCFpALTrI,14 Amazing Forensic Science Techniques,Here are 14 of the most amazing science techniques and technology that lets us carbon date and even do age progression! Subscribe to Talltanic http://goo.gl/wgfvrr 7. Ballistics This side...,https://i.ytimg.com/vi/g7KCFpALTrI/default.jpg,Talltanic,UCTTQAOiR_0DuyQPZ6Dg-LHA,58801,597,23,26
