,id,title,description,thumbnail,channelTitle,channelId,viewCount,likeCount,dislikeCount,commentCount
0,zbyu6MOzpLE,Top Hits of 2017 in 4 minutes - Us The Duo,"Instagram / Facebook / Twitter: @UsTheDuo Arranged, Sung, Filmed, & Edited by: Michael & Carissa Alvarado TOP HITS OF 2017 in 4 Minutes Shape of You - Ed Sheeran Stay - Zedd ft. Alessia...",https://i.ytimg.com/vi/zbyu6MOzpLE/default.jpg,Us The Duo,UCZ1cXeHxifMdjKtSzc_NEQw,3394411,220200,3374,6337
1,jjBlnLEVccQ,TOP 4 Golden Buzzer America's Got Talent 2017,1. Christian Guardino 2. Darci Lynne 3. Dancers Light Balance 4. Mandy Harvey SUBCRIBE CHANNEL: http://bit.ly/2fhpDdd Contact us: Facebook: https://www.facebook.com/lenkenoffical/ Twitter:...,https://i.ytimg.com/vi/jjBlnLEVccQ/default.jpg,Len Ken,UCeBWh-0p7vgBeD6HOHBpfwQ,55926113,439979,21449,13266
2,UgI_U1qMMSI,Top 4 - Bodybuilders Took Vascularity To a DANGER LEVEL !!,Faceoook Page :https://www.goo.gl/Lii4vV Instagram :https://www.goo.gl/Nb9Eyg ----------------------------------------------- Top 4 Bodybuilders Took Vascularity To A DANGER LEVEL !! --------------...,https://i.ytimg.com/vi/UgI_U1qMMSI/default.jpg,Live For the Pump,UCA7lvPDUoaUFXJdo2gpmcvw,3011413,10051,1534,1380
3,pShWXtEpw0k,TOP 4 Bigboss 11|| Confirmed From Sources|| Finale Week|| Top 4 Contestants,Top 4 Bigboss 11..... Thank You For Watching..... Final Cut News...(FCN),https://i.ytimg.com/vi/pShWXtEpw0k/default.jpg,Final Cut News,UCIa1gc6HYm6caMuANx3D3tQ,8537,70,9,45
4,gi4az8cpMkA,Top 4 Reveal: A true House diva,Paxton gave us a sassy and sophisticated cover of 'In Common' by Alicia Keys but still brought the energy For more information visit: https://www.idolssa.tv https://www.mzansimagic.tv...,https://i.ytimg.com/vi/gi4az8cpMkA/default.jpg,IdolsSA,UCIqNOMtvwCM3vwFi38WvQ5g,268279,2209,148,171
5,_1Saj_jt6Vw,Top 4 Realistic Minecraft of 2017 (Minecraft Animations),Top 4 Realistic Minecraft of 2017 (Minecraft Animations) =============================== Top 5 Realistic Minecraft (Minecraft Animations) https://youtu.be/R0gZZQcuacY?list=PLMUlZFRWXMmI3xqcgoenIC...,https://i.ytimg.com/vi/_1Saj_jt6Vw/default.jpg,Animation Cinema,UCbKCAbjfSPBymwVprDlviyg,4845138,13464,3384,478
6,xRfS4aN0Wfg,TOP 4 Awesome Life Hacks,Top 4 Awesome Life Hack + Thank for watching! + Please subcribe to view the latest videos. + Good luck!!!!,https://i.ytimg.com/vi/xRfS4aN0Wfg/default.jpg,NDA Hack,UCO0--uVBE8kcIJJkvDJ83tA,3566990,12656,9105,813
7,T95xrNlYxfg,"TOP 4 Simon Cowell's ""I Know What I'm Doing"" Moments!",CLICK HERE to Learn How To Sing Tips To Improve Your Singing Voice ▻ http://MusicTalentNow.com/Learn-To-Sing ◅ ♥ Please Follow Me On Twitter ♥ http://bit.ly/Twitter_MusicTalentNow...,https://i.ytimg.com/vi/T95xrNlYxfg/default.jpg,MusicTalentNow,UCDnEa2HC2eeT-cN3pAKnNTw,9208571,56390,3837,2184
8,I_2rJj3lh7o,Prva sezona TOP4 - oddaja 3,Tretja oddaja prve sezone.,https://i.ytimg.com/vi/I_2rJj3lh7o/default.jpg,Top4 Oddaja,UCb0mFrgQKf2z1CYVh3zsoqg,17995,62,3,13
9,IlNfid4ddLE,Top 4 Parodias Five Nights at Freddy,Espero que os haya gustado muchísimo este vídeo!!!!! si es así dale a like y subscribete que es gratis RETO: 10 Likes ;) Mi twiteer: https://twitter.com/Dani_ManYT ??? Mi texture...,https://i.ytimg.com/vi/IlNfid4ddLE/default.jpg,DaniMax YT,UCYfQ7Od0BjnytYiIxTBybFg,3289156,28289,2617,1500
10,weAa2WmsNpg,College Football Playoff Selection Show: FINAL Top 4,,https://i.ytimg.com/vi/weAa2WmsNpg/default.jpg,Campus Insider,UCldx9PTKt4Xf896IZDj71jg,102146,401,66,1238
11,N0kXmpAiHSc,Top 4 Funny Minecraft Animations,Top 4 funny Minecraft animations created by MrFudgeMonkeyz Some of my 4 best funniest Minecraft animations. What was the best minecraft animation? Watch mob life minecraft animations. Most...,https://i.ytimg.com/vi/N0kXmpAiHSc/default.jpg,MrFudgeMonkeyz,UC8QTb6EqLtKRpnWQb4iXy0A,2176420,11879,1057,1356
12,aYSXtl0gdyA,Prva sezona TOP4 - oddaja 1,Premierna oddaja prve sezone.,https://i.ytimg.com/vi/aYSXtl0gdyA/default.jpg,Top4 Oddaja,UCb0mFrgQKf2z1CYVh3zsoqg,17380,61,3,7
13,WT8GmpHwqjI,Top 4 MIND BENDING Theories That Will Change Your Reality,"These Theories will blow your mind wide open! Please support Scary Mysteries! Check out our Patreon at https://www.patreon.com/scarymysteries?alert=2 - There's a lot of cool access, giveaways...",https://i.ytimg.com/vi/WT8GmpHwqjI/default.jpg,Scary Mysteries,UCiE86yS_VM7qjiICqRPmwLQ,656601,6131,566,1074
14,HHuOu8L5f58,Top 4 Bikers vs Cops | Biker With A Gun Gets Pulled Over,Top 4 Bikers vs Cops | Biker With A Gun Gets Pulled Over Original owners of the videos(please subscribe to their channels) 00:00 JayFiver Rides https://youtu.be/YS9N6pBxNnk 02:17 Ammari Drummer...,https://i.ytimg.com/vi/HHuOu8L5f58/default.jpg,Motorcycle Throttle,UC3A_98kDRedy4T1mIa6OVrA,6797088,26205,7445,3024
15,6aKvb96HPVw,Reaction: College Football Playoff Top 4,,https://i.ytimg.com/vi/6aKvb96HPVw/default.jpg,Campus Insider,UCldx9PTKt4Xf896IZDj71jg,67194,255,32,765
16,SLZ8GU2j0PE,TOP 4 REALISTC MINECRAFT Animations,A compilation of all my best Realistic Minecraft animations. This 4 are my favorite. Which one is yours? FEATURED VIDEOS! HULK | http://bit.ly/2cmkToz SPIDERSTEVE | http://bit.ly/2caFs2R ALIENS...,https://i.ytimg.com/vi/SLZ8GU2j0PE/default.jpg,LowLevelNoob,UCnuhF7wztSF1hOUzBWdIfsw,17364724,38643,8418,2103
17,BZLYDjvHr-Y,TOP 4 UNKNOWN Places to Land for LOOT and EASY WINS (Fortnite Battle Royale) | Tips and Tricks,"Welcome to the best 4 unknown places to land to get EASY WINS in Fortnite Battle Royale! In these trips and tricks, follow these paths correctly and end up with plenty of kills and loot! Be...",https://i.ytimg.com/vi/BZLYDjvHr-Y/default.jpg,thatdenverguy,UCN_kkuZ1b1emUHq2Fz3DWuQ,2774051,60042,2309,13081
18,ieosCUG3yG4,Top 4 Voces del Infierno Captados en Audio,"En este video veras algunos audios que son considerados como voces y lamentos del infierno que fueron captados, filmados, grabados en audio y video (psicofonias) En 1984 unos científicos...",https://i.ytimg.com/vi/ieosCUG3yG4/default.jpg,Drawblogs,UCkuPobJMx7DPUdwlVo1TFfA,2013909,41802,3017,4748
19,rhe9GFav5NM,"Nepal Idol, Gala Round, TOP 4 - Full Episode 34",Director Laxman Paudyal Chief Asst. Director Aleen Shrestha Reality Producer Firoj Timalsina Yogesh Jung Kunwar Director of Photography Shivaram Shrestha Asst. Director Manoj K.C. Babu...,https://i.ytimg.com/vi/rhe9GFav5NM/default.jpg,Nepal Idol,UCxwa4RK4FCq-1LR5l5Dh8vA,873641,9888,1137,3853
