,id,title,description,thumbnail,channelTitle,channelId,viewCount,likeCount,dislikeCount,commentCount
0,6VXVUwefvqc,TOP 14 - Résumé Racing 92-Clermont: 58-6 - J15 - Saison 2017/2018,PHASES FINALES | BILLETTERIE Réservez vos places en exclusivité sur lnr.fr ! ▻ Demi-finales TOP 14 | Lyon http://bit.ly/2hR5lwO ▻ Finale TOP 14 | Stade de France http://bit.ly/2A...,https://i.ytimg.com/vi/6VXVUwefvqc/default.jpg,TOP 14 - Officiel,UCWrD2VhZdO-_W8QDBxiXmeg,112926,518,44,74
1,zr7aqGmeC88,TOP 14 - Résumé Clermont-Castres: 27-31 - J14 - Saison 2017/2018,PHASES FINALES | BILLETTERIE Réservez vos places en exclusivité sur lnr.fr ! ▻ Demi-finales TOP 14 | Lyon http://bit.ly/2hR5lwO ▻ Finale TOP 14 | Stade de France http://bit.ly/2A...,https://i.ytimg.com/vi/zr7aqGmeC88/default.jpg,TOP 14 - Officiel,UCWrD2VhZdO-_W8QDBxiXmeg,38458,208,10,62
2,W2c0-RtrtfQ,TOP 14 - Résumé Oyonnax-La Rochelle: 38-38 - J15 - Saison 2017/2018,PHASES FINALES | BILLETTERIE Réservez vos places en exclusivité sur lnr.fr ! ▻ Demi-finales TOP 14 | Lyon http://bit.ly/2hR5lwO ▻ Finale TOP 14 | Stade de France http://bit.ly/2A...,https://i.ytimg.com/vi/W2c0-RtrtfQ/default.jpg,TOP 14 - Officiel,UCWrD2VhZdO-_W8QDBxiXmeg,15982,73,3,6
3,l7VAvjvbJ3g,Top 14 - 15ème journée,Retrouvez les résumés de tous les matchs du Top 14.,https://i.ytimg.com/vi/l7VAvjvbJ3g/default.jpg,Le Sport avec CANAL,UC8ggH3zU61XO0nMskSQwZdA,5369,28,1,2
4,ra-mhMSHjdI,TOP 14 - Résumé Toulon - Racing 92 : 29-40 - J10 - Saison 2017/2018,DEMI-FINALES 2018 | LYON ◅ ◅ Réservez vos places sur lnr.fr http://bit.ly/2xqOZ3K ▻ Abonnez-vous http://bit.ly/2bjtAhV Et retrouvez chaque lundi : ○ Les résumés de...,https://i.ytimg.com/vi/ra-mhMSHjdI/default.jpg,TOP 14 - Officiel,UCWrD2VhZdO-_W8QDBxiXmeg,51295,197,11,17
5,MqPSA8uIfro,La Rochelle vs Montpellier  TOP 14 J12 2017 2018,Bon visionnage !,https://i.ytimg.com/vi/MqPSA8uIfro/default.jpg,Lordsold,UCV4wNnHjnOqOeYLTSmQYfxg,16927,58,1,8
6,VVXqHNbe7nc,TOP 14 - Résumé Toulon-Oyonnax : 49-25 - J13 - Saison 2017/2018,PHASES FINALES | BILLETTERIE Réservez vos places en exclusivité sur lnr.fr ! ▻ Demi-finales TOP 14 | Lyon http://bit.ly/2hR5lwO ▻ Finale TOP 14 | Stade de France http://bit.ly/2A...,https://i.ytimg.com/vi/VVXqHNbe7nc/default.jpg,TOP 14 - Officiel,UCWrD2VhZdO-_W8QDBxiXmeg,22806,128,7,11
7,zyjegEjeJug,TOP 14 - Résumé Paris-Racing 92: 27-17 - J12 - Saison 2017/2018,PHASES FINALES | BILLETTERIE Réservez vos places en exclusivité sur lnr.fr ! ▻ Demi-finales TOP 14 | Lyon http://bit.ly/2hR5lwO ▻ Finale TOP 14 | Stade de France http://bit.ly/2A...,https://i.ytimg.com/vi/zyjegEjeJug/default.jpg,TOP 14 - Officiel,UCWrD2VhZdO-_W8QDBxiXmeg,20487,83,5,2
8,ML0wXcKtnIE,TOP 14 - Résumé Pau-Clermont: 22-21 - J13 - Saison 2017/2018,PHASES FINALES | BILLETTERIE Réservez vos places en exclusivité sur lnr.fr ! ▻ Demi-finales TOP 14 | Lyon http://bit.ly/2hR5lwO ▻ Finale TOP 14 | Stade de France http://bit.ly/2A...,https://i.ytimg.com/vi/ML0wXcKtnIE/default.jpg,TOP 14 - Officiel,UCWrD2VhZdO-_W8QDBxiXmeg,20754,109,12,6
9,3tLxgEJJSD4,TOP 14 - Résumé Brive-Toulon: 13-12 - J15 - Saison 2017/2018,PHASES FINALES | BILLETTERIE Réservez vos places en exclusivité sur lnr.fr ! ▻ Demi-finales TOP 14 | Lyon http://bit.ly/2hR5lwO ▻ Finale TOP 14 | Stade de France http://bit.ly/2A...,https://i.ytimg.com/vi/3tLxgEJJSD4/default.jpg,TOP 14 - Officiel,UCWrD2VhZdO-_W8QDBxiXmeg,14300,61,2,11
