,id,title,description,thumbnail,channelTitle,channelId,viewCount,likeCount,dislikeCount,commentCount
0,8uNXYMpVZVE,"Top 12 Comedy Scenes | Johnny Lever, Rajpal & Kader Khan | Bollywood Comedy Movies |Hindi Movies",For More Bollywood Comedy Movies : http://bit.ly/2npjQVg Enjoy Bollywood Superhit Movies : http://bit.ly/2nUSHx3 For Best Bollywood Dialogues : http://bit.ly/2oJryKT Evergreen Bollywood Classic...,https://i.ytimg.com/vi/8uNXYMpVZVE/default.jpg,Venus Movies,UCpcsv3Ow-8IhoUGDEfPetsQ,6406940,10964,3412,4
1,MjvxRc2FBys,"Top 12 Plays Of Christmas | December 25, 2017","Check out the top 12 plays of Christmas featuring, Dwyane Wade, Josh Hart, Bradley Beal, Kyrie Irving, Draymond Green, Jimmy Butler, Raymond Felton, Julius Randle, Karl-Anthony Towns, Steven...",https://i.ytimg.com/vi/MjvxRc2FBys/default.jpg,NBA,UCWJ2lWNubArHWmf3FIHbfcQ,386256,4106,362,422
2,cSDDicTuihY,TOP 12 Bản Nhạc Huyền Thoại kết hợp điệu nhảy gây bão Shuffle Dance,Giúp mình đạt 10.000 Subscribe tại đây : https://goo.gl/eL4v71 ----------------------------------------------------- Music : List nhạc : 1. Mc - Gury Mix 2. SONBEAT - Freedom (Original...,https://i.ytimg.com/vi/cSDDicTuihY/default.jpg,Xem Liên Minh,UCfFvhp_FUbLPhqpD9fao40g,3443861,12997,952,911
3,NXyK1xRsp4Y,TOP 12 GLOBAL VOICE INCREDIBLE BLIND AUDITIONS,"SUBCRIBE CHANNEL: http://bit.ly/2fhpDdd Contact us: Facebook: https://www.facebook.com/lenkenoffical/ Twitter: https://twitter.com/T4Sorry If you want submit your videos, please sent email...",https://i.ytimg.com/vi/NXyK1xRsp4Y/default.jpg,Len Ken,UCeBWh-0p7vgBeD6HOHBpfwQ,10003939,38543,3447,845
4,gTIYpWMD2ck,"The Voice 2017 Chloe Kohanski - Top 12: ""Thank You""","Chloe Kohanski sings Dido's ""Thank You"" during the live Top 12 performances. » Get The Voice Official App: http://bit.ly/TheVoiceOfficialApp » Subscribe for More: http://bit.ly/TheVoiceSub...",https://i.ytimg.com/vi/gTIYpWMD2ck/default.jpg,The Voice,UCpdK1NLHxEUGXc1gq2NxkTw,985271,12123,470,1319
5,u9NSJa6jSEo,Top 12 Tasty Desserts Recipes 😋 😋 | Best Desserts Recipes And Cake Proper Tasty Tastemade 😜 2017,Thanks For Watching ❤ ❤ ❤ Top 12 Tasty Desserts Recipes | Best Desserts Recipes And Cake Proper Tasty Tastemade ...,https://i.ytimg.com/vi/u9NSJa6jSEo/default.jpg,satisfying videos,UCcuLe5rHnUNScrhE9yQnt5g,1206172,8044,689,287
6,RAiqefOQc30,iOS 12 - TOP 12 Features WE NEED!,iOS 12 - TOP 12 Features We Need! ➽ Apple AirPods GIVEAWAY: https://goo.gl/gqe2uu ➽ Google Home Mini GIVEAWAY: https://goo.gl/8fLw7B Help support the channel by using these links when...,https://i.ytimg.com/vi/RAiqefOQc30/default.jpg,ZONEofTECH,UCr6JcgG9eskEzL-k6TtL9EQ,35605,1614,77,743
7,WwP_4-Y2QfQ,Top 12 Best School Life Hacks Ever,Please Like_Share_& Subscribe ! http://www.youtube.com/subscription_center?add_user=AllmostPrank Top 12 Best School Life Hacks Ever.,https://i.ytimg.com/vi/WwP_4-Y2QfQ/default.jpg,X-perio,UCKQ-s6rYaIoQeOtUKbS8OlQ,2214174,8498,2611,542
8,U3Ryi25uVKk,"The Voice 2017 Shi’Ann Jones - Top 12: ""Vision of Love""","Shi'Ann Jones sings Mariah Carey's ""Vision of Love"" during the live Top 12 performances. » Get The Voice Official App: http://bit.ly/TheVoiceOfficialApp » Subscribe for More: http://bit.ly/TheV...",https://i.ytimg.com/vi/U3Ryi25uVKk/default.jpg,The Voice,UCpdK1NLHxEUGXc1gq2NxkTw,461551,7686,501,1049
9,kU7RZkai8JU,Top 12 Tasty Desserts Recipes 😍💖 | Best Desserts Recipes And Cake Proper Tasty Tastemade  2017,Thanks For Watching ❤ ❤ ❤ Top 12 Tasty Desserts Recipes | Best Desserts Recipes And Cake Proper Tasty Tastemade 2017...,https://i.ytimg.com/vi/kU7RZkai8JU/default.jpg,satisfying videos,UCcuLe5rHnUNScrhE9yQnt5g,396285,3548,246,87
